pm25,pm10,no,no2,nox,so2,co,ozone,t2m,wind_speed,humidity,precip_mm,msl,wind_dir_sin,wind_dir_cos,is_monsoon,inversion_flag,traffic_index,is_weekend,is_gazetted_holiday,is_restricted_holiday,fire_count,daily_frp,is_festival,festival_intensity,is_wedding_heavy,fire_wind_interaction,region_Central,region_East,region_North,region_South,region_West,AQI,AQI_lag1,AQI_lag2,AQI_lag3,AQI_rolling_mean_3,AQI_rolling_mean_7,pm25_lag1,pm25_lag2,pm25_lag3,pm25_rolling_mean_3,pm25_rolling_mean_7,datetime,region_name,month,day_of_week,day_of_month,hour,season,is_holiday,pm10_lag1,no2_lag1,so2_lag1,co_lag1,temp_humidity_interaction,wind_pm25_interaction,wind_aqi_interaction
112.3185185,326.0814815,38.41366898,56.44133102,60.86642361,10.36041667,1.048976952,57.79400959,28.81413781,0.612482536,55.6883167,0.015638849,1010.975862,-0.977143565,0.212580465,0,0,4,1,0,0,3,5.0,0,0,0,4.898098838,False,False,False,False,True,276,328.0,255.0,185.0,286.3333333333333,250.28571428571428,148.5606481,106.3643519,85.39548611,113.44016203666656,109.16190083,2023-10-14,West,10,5,14,0,4,0,372.4445918,57.10050926,14.16200547,1.331669028,1604.6108318007243,68.79313105064291,169.045179936
96.07268519,303.0140278,45.52208333,51.39466435,63.80635417,12.05925926,1.054858905,79.05600889,27.5697299,0.640466235,60.12254799,3.196802677,1009.467769,-0.995101149,0.098862045,0,0,3,1,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,253,276.0,328.0,255.0,285.6666666666667,254.71428571428572,112.3185185,148.5606481,106.3643519,122.41450616666658,107.89404368714284,2023-10-15,West,10,6,15,0,4,0,326.0814815,56.44133102,10.36041667,1.048976952,1657.5624089840878,61.53131096997956,162.037957455
71.44842172,211.5083333,13.99395833,43.44224537,33.75171296,9.959722222,0.823995572,48.84009239,24.13742656,2.185742156,72.05116537,4.678768571,1011.914063,0.094086188,-0.995564056,0,0,4,0,0,0,1,1.49,0,0,0,0.457510506,False,False,False,False,True,174,253.0,276.0,328.0,234.33333333333334,245.28571428571428,96.07268519,112.3185185,148.5606481,118.9839505966666,107.80317067142856,2023-10-16,West,10,0,16,0,4,0,303.0140278,51.39466435,12.05925926,1.054858905,1739.1297126807906,156.16782733307002,380.319135144
42.97905773,94.31350309,17.52626157,49.22372685,39.78712963,12.59583333,0.965601349,24.11780545,22.56395333,0.843696894,78.68135287,1.553406592,1015.377537,-0.958226202,-0.286011443,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,94,174.0,253.0,276.0,173.66666666666666,223.57142857142858,71.44842172,96.07268519,112.3185185,93.27987513666658,103.43376387428572,2023-10-17,West,10,1,17,0,4,0,211.5083333,43.44224537,9.959722222,0.823995572,1775.3623740999415,36.261297513847694,79.307508036
51.11180556,113.6455065,14.06155093,44.19280093,34.34236111,9.949189815,0.967707144,25.40492905,23.59382323,2.597651215,64.883095,0.000124046,1015.089298,-0.674888349,0.737919858,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,109,94.0,174.0,253.0,125.66666666666667,212.71428571428572,42.97905773,71.44842172,96.07268519,70.16672154666658,94.7341670357143,2023-10-18,West,10,2,18,0,4,0,94.31350309,49.22372685,12.59583333,0.965601349,1530.8402740452968,132.77064381377775,283.143982435
54.33831019,123.831713,13.48207176,45.945625,34.70969907,13.01967593,1.003491345,33.56690368,23.23384552,2.161496071,64.50958095,0.0,1014.975597,-0.747587954,0.66416282,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,116,109.0,94.0,174.0,106.33333333333333,192.85714285714286,51.11180556,42.97905773,71.44842172,55.17976166999991,89.8364983857143,2023-10-19,West,10,3,19,0,4,0,113.6455065,44.19280093,9.949189815,0.967707144,1498.8056383522348,117.45204398046428,250.73354423600003
116.347338,217.8206481,24.09832803,52.2928991,46.85928085,10.8822816,1.04750947,32.35060816,23.56638656,1.691551064,66.2186791,0.0,1015.220529,-0.807228698,0.59023879,0,0,4,0,0,0,0,0.0,0,0,0,0.0,False,False,False,False,True,288,116.0,109.0,94.0,171.0,187.14285714285714,54.33831019,51.11180556,42.97905773,49.47639115999991,82.40420671285713,2023-10-20,West,10,4,20,0,4,0,123.831713,45.945625,13.01967593,1.003491345,1560.5349891631931,196.8074633874676,487.166706432
192.5727183,321.6197222,33.20205817,59.94746679,58.35493659,8.768292069,1.198496377,25.65403382,23.88079969,1.209542972,65.65767386,0.0,1015.773617,-0.998027697,-0.062775116,0,0,4,1,0,1,1,0.38,0,0,0,0.826758555,False,False,False,False,True,356,288.0,116.0,109.0,253.33333333333334,198.57142857142858,116.347338,54.33831019,51.11180556,73.93248458333325,77.80230527,2023-10-21,West,10,5,21,0,4,1,217.8206481,52.2928991,10.8822816,1.04750947,1567.9577575620092,232.92497801870076,430.59729803199997
194.09375,338.363633,45.87641204,55.27922454,66.24046296,9.266550926,0.92956123,22.71222021,24.01027979,1.411243883,66.515031,0.373043486,1015.89041,-0.981840501,0.189708278,0,0,3,1,0,1,0,0.0,0,0,0,0.0,False,False,False,False,True,357,356.0,288.0,116.0,333.6666666666667,213.42857142857142,192.5727183,116.347338,54.33831019,121.08612216333324,89.26719095571427,2023-10-22,West,10,6,22,0,4,1,321.6197222,59.94746679,8.768292069,1.198496377,1597.0445045505232,273.91361741603123,503.814066231
170.3319444,284.0925595,25.95032407,50.89655093,47.6940162,7.440740741,1.380838869,20.22247232,24.03585063,2.174797923,65.73033318,0.0,1014.147119,-0.708700579,0.705509383,0,0,3,0,0,1,0,0.0,0,0,0,0.0,False,False,False,False,True,339,357.0,356.0,288.0,350.6666666666667,237.0,194.09375,192.5727183,116.347338,167.67126876666657,103.27020021428572,2023-10-23,West,10,0,23,0,4,1,338.363633,55.27922454,9.266550926,0.92956123,1579.884470174613,370.4375589016714,737.2564958969999
